X,Y,Гумус,P,K,Mn,Co,Cu,Zn,Mo,B,Ca,Mg,Al,N_NH4,N_NO3,NDVI
38.880211,53.629051,6.5,81.1,178.3,24.1,0.04,0.06,0.21,0,2.2,13.7,2.7,0,8.9,40.8,0.727740586
38.87638,53.627953,6.2,262.9,328.8,29,0.04,0.07,0.18,0,2.6,14.3,2.6,0,12.1,43.4,0.658671081
38.871806,53.628301,7.4,202.3,255.5,27.9,0.04,0.1,0.25,0,2.1,12.5,2.5,0,9,24.3,0.768856466
38.869034,53.627647,7.2,66.7,136.8,15.1,0.03,0.1,0.37,0,2.3,14.4,2.7,0,9.1,21.8,0.722283185
38.869721,53.629889,6.7,68,210.7,22.9,0.04,0.06,0.22,0,2,12.5,2.3,0,8.2,24.1,0.70066452
38.867472,53.630386,7.4,61.1,134.1,13.1,0.02,0.06,0.15,0,2,13.8,2.3,0,12.5,26.9,0.693211854
38.864552,53.632659,8.1,114,331.3,8.2,0.02,0.08,0.2,0,2.2,12.7,2.2,0,3.4,7.3,0.799672246
38.863867,53.626297,7.8,84.7,315,25.2,0.04,0.07,0.64,0,1.7,12.1,3.3,0,12.6,0,0.705134749
38.849841,53.624469,6.7,101.8,177.4,17.6,0.03,0.14,0.43,0,2.2,13.3,2.4,0,15.3,38.9,0.717805803
38.833357,53.623853,4.8,54.9,125.6,11.6,0.02,1.14,0.14,0.02,1.8,14.6,2,0,9.6,23.8,0.699386477
38.828197,53.619004,5.8,32,68,9.8,0.02,0.68,0.13,0.01,1.9,17.3,1,0,3.5,44.4,0.615990281
38.82402,53.614219,6.2,22.8,130.6,6.2,0.02,0.98,0.22,0.02,1.2,15.7,2.6,0,4.2,2.5,0.614422798
38.814678,53.61102,8.5,281.1,625,13.6,0.03,0.93,0.4,0.03,2,10.4,1.6,0,9.2,15.2,0.678743362
38.759141,53.586409,8.6,75.6,144.4,7.8,0.02,0.89,0.21,0.01,2.1,13.1,2.3,0,6,0,0.702359319
38.748861,53.586041,7.4,50.1,140,3.2,0.01,01.09,0.18,0,1.4,12,2.3,0,2.3,0,0.767308712
38.750799,53.588216,8.1,105.3,107.5,7.4,0.02,0.87,0.69,0.02,1.9,13.3,2.3,0,5.6,0,0.61076057
38.743803,53.589488,6.4,79.4,151,3.6,0.02,1.12,0.18,0.01,2,12.1,2.1,0,2.7,0,0.75920397
38.720634,53.591491,7,61.2,96.7,3.7,0.02,0.9,0.15,0,1.8,12.2,2.2,0,2.1,0,0.615595102
38.735718,53.59305,8.3,165.9,117.1,6.4,0.01,0.76,0.17,0,2.7,15.3,2,0,4.4,8.9,0.779053092
38.740928,53.592237,7.1,66.1,212.7,2.6,0.01,0.1,0.32,0,1.4,7.8,1.4,0,2.4,11.4,0.72515738
38.736262,53.59892,5.4,938.2,30.7,15.7,0.02,0.14,0.25,0,1.4,19.9,1.3,0,3.4,5.5,0.708818197
38.725047,53.600508,5.4,61.8,91.6,2.4,0,0.09,0.2,0,2,16,1.8,0,2.3,12.7,0.774080157
38.723306,53.595203,7.8,363.3,446.8,2,0,0.07,0.37,0,2.3,12.5,2.8,0,3.2,0,0.762289047
38.737588,53.609367,7.1,16.3,150.6,1.8,0.01,0.07,0.27,0,1.1,10.6,2.7,0,4,0,0.651738167
38.735865,53.613372,9.4,132.4,180.8,3.4,0,0.1,0.47,0,2.4,13.9,3.6,0,5.7,0,0.686685562
38.739705,53.613381,6.8,74.8,150.7,1.6,0.01,0.07,0.23,0,1.7,13.5,3.4,0,2.3,39.2,0.633577168
38.745079,53.613343,5.1,87.9,122.5,3.4,0,0.1,0.2,0,1.7,16.9,2.2,0,2.3,8.2,0.694004536
38.735645,53.606353,5.9,41.8,76.4,2.2,0,0.08,0.19,0,1.4,10.4,2,0,2.6,0,0.713562191
38.838352,53.612988,6.6,152.6,106.8,3.3,0,0.09,0.22,0,2.2,16,3.2,0,3.6,92.8,0.730690002
38.852459,53.618177,7.1,159.9,411.8,7.1,0.02,0.21,0.4,0,2,16,2.6,0,4.5,89.5,0.666366637
38.837454,53.604961,6.4,1.4,87.1,19.9,0.03,0.2,0.3,0,1.8,22.1,1.3,0,7.9,45.2,0.431444228
38.834478,53.599162,5.7,120.1,166,4.1,0.02,0.17,0.18,0,2.6,19.9,2.1,0,5.9,80.5,0.618891776
38.835993,53.593502,6.8,533,527.4,4.2,0.01,0.14,0.56,0,2.6,15.4,3.3,0,5,84.6,0.652021945
38.794744,53.611103,6.9,53.4,355.3,4.3,0.01,0.14,0.45,0,1.6,14.8,3.6,0,5.7,72.7,0.521044016
38.805026,53.611024,7.5,171,176.1,4,0.01,0.17,0.37,0,2.8,18,4.3,0,9.5,52.9,0.734817326
38.803266,53.602422,7,173.7,277.4,4.2,0.02,0.15,0.28,0,2.7,19.5,4.5,0,3.8,160.3,0.399457574
38.795141,53.599451,5.9,198.9,212.9,4.9,0.01,0.17,0.2,0,2.3,20.7,2.4,0,4.3,51.8,0.535930157
38.785221,53.593986,5.7,94.6,148.7,3.8,0.01,0.17,0.21,0,1.8,18.1,3.2,0,4.4,36,0.376470596
38.77455,53.587282,6.6,332.3,168.9,5.4,0.01,0.17,0.27,0,2.1,19.3,3.5,0,5.7,236.4,0.456512332
38.764973,53.594233,6.4,119.1,125.9,2.9,0,0.06,0.16,0,1.6,16.3,3,0,2.9,36.7,0.335468382
38.776348,53.600697,6,26.9,90.8,3.1,0,0.06,0.13,0,2.5,17.5,3.3,0,3.2,10.3,0.379641324
38.791332,53.608194,5.9,63.9,111.5,3,0,0.06,0.13,0,1.3,17.4,3.4,0,2.3,7.7,0.494120866
38.807956,53.602638,7.3,92.2,201.4,10.4,0,0.07,0.26,0,2.1,15.9,3.1,0,7.4,312.1,0.531145334
38.815912,53.600965,4.8,48.6,155.4,3.4,0,0.08,0.14,0,1.3,16.4,1.8,0,2.5,13.6,0.5182482
38.82229,53.597399,6.5,132.7,147.1,5.2,0,0.09,0.24,0,1.4,16.6,2.6,0,3.6,45.1,0.518584073
38.809389,53.599471,6.5,487.8,883.9,4.4,0,0.08,0.22,0,1.9,13.4,1.9,0,4.3,82.1,0.640078366
38.80026,53.596816,5,66.8,107.6,6,0,0.08,0.11,0,1.3,18.7,1.5,0,2.4,14.6,0.709419906
38.802603,53.593432,5.8,53.2,78.3,2.3,0,0.05,0.11,0,1.4,16.7,2.1,0,2.8,19.7,0.569566548
38.808322,53.589831,5.1,777.4,131.4,3.5,0.01,0.06,0.18,0,1,14.4,3,0,2.1,40.2,0.539534867
38.789155,53.610503,6.1,136.4,141.8,6.1,0.01,0.1,0.14,0.02,1.9,19,1.4,0,2.9,23.7,0.424386382
38.786339,53.613695,6,94.5,116.2,4.2,0.01,0.08,0.16,0.07,2.1,16.4,2.6,0,57,27.2,0.486468196
38.781472,53.612458,5.1,60.2,126.7,4.1,0.01,0.06,0.13,0.02,1.9,8.7,1.2,0,6.7,24.2,0.674188197
38.773343,53.61073,11.5,219.4,355.5,7.2,0.02,0.1,0.64,0,2.2,15.9,2.9,0,4.6,41.1,0.777310908
38.7671,53.610867,6.8,161,181.1,4.5,0.01,0.07,0.18,0.03,2.5,16.5,2.4,0,5.4,33.4,0.619446754
38.760406,53.609179,7.9,278.5,333.5,5.8,0.02,0.11,0.25,0.02,2.4,15.3,2.4,0,4.7,40.2,0.611864388
38.757776,53.606868,8.1,105.5,204.5,5.8,0.02,0.07,0.19,0,2.6,14.5,2.1,0,5.6,34.2,0.633682847
38.755277,53.603285,8.5,223.4,606.2,5.9,0.02,0.09,0.36,0,2.6,14.2,2.5,0,5,49.5,0.725186646
38.752403,53.598028,8.6,340,466.6,6.1,0.02,0.07,0.3,0.02,3.2,15,2.3,0,4.3,31.9,0.665544331
38.757045,53.598421,7.8,100.7,218.8,8.6,0.03,0.09,0.33,0.02,2.1,15.8,2.5,0,5.5,31.2,0.757481158
38.744862,53.597828,7.7,86.9,322.7,5.6,0,0.06,0.21,0,1.9,16.1,2.5,0,3.4,142.7,0.680654526
38.795121,53.58067,7.7,97.4,435.7,4.3,0,0.07,0.26,0,1.8,15.5,2.6,0,2.8,96.4,0.81198591
38.784011,53.618137,8.9,87.5,404.6,5.8,0,0.08,0.26,0,2.8,17.2,2.4,0,2.7,167.6,0.704023004
38.777106,53.617702,7.9,69.7,443.9,4.7,0,0.06,0.27,0,2.1,15.1,2.6,0,2.6,105.7,0.708090067
38.769631,53.617328,8.3,57,260.3,3.8,0,0.07,0.24,0,2.1,16.8,2.8,0,3.3,136.2,0.70766592
38.762069,53.616929,8,50,261.2,4.2,0,0.08,0.53,0,2,16.8,3,0,2.4,108.2,0.752073944
38.763068,53.613993,5,54.8,265.6,4.7,0,0.07,0.16,0,1.2,14.2,1.5,0,2.9,86,0.518404901
38.760773,53.620655,8.1,51.4,251.6,5.4,0,0.07,0.26,0,1.9,14.7,2.5,0,2.9,101,0.571806729
38.759455,53.625663,8.6,64.9,228.7,5.5,0,0.06,0.25,0,2.1,15.5,2.7,0,8.8,78.4,0.778048754
38.7667,53.626222,7.1,42.7,202.2,3.7,0,0.06,0.19,0,1.8,15.6,2.5,0,13,94.2,0.740253389
38.773768,53.626647,6.1,114.3,235.7,4.1,0.01,0.14,0.27,0,1.9,18.5,3.1,0,5,90.8,0.658439696
38.778838,53.627149,5.8,109.3,174.9,4.3,0.01,0.16,0.18,0,1.8,22.2,2.1,0,7.3,85.2,0.664369047
38.783272,53.623786,6.4,128.5,219.5,3.6,0.01,0.22,0.24,0,2.4,20,3.2,0,4.2,123.3,0.685234308
38.785222,53.621173,6.8,127.2,212.1,6.1,0.01,0.12,0.23,0,2.8,20.8,3.5,0,5.1,118.4,0.624707282
38.796767,53.617424,6.4,544.8,488.1,5.5,0.02,0.17,0.64,0,2.6,13.7,2.9,0,6.9,101.1,0.670276761
38.804413,53.615744,6.6,650.1,860,19.7,0.01,0.27,1.27,0,2.9,16.2,2.4,0,6.1,118.3,0.736045897
38.809122,53.613613,6.8,547.1,624.6,8.5,0.01,0.19,0.96,0,2.6,18.2,2.4,0,4.6,82.6,0.681604981
38.813521,53.615847,6.2,636.1,364.1,5.5,0.02,0.13,0.25,0,2.2,18.6,2.8,0,4.5,128.5,0.781577289
38.818727,53.617298,6.1,231.8,273.7,5.4,0.01,0.33,0.23,0,2.1,17.5,3.3,0,4.3,90.3,0.779069781
38.813814,53.620272,6.1,192.2,215.5,6.5,0.01,0.25,0.24,0,2,18,3.4,0,5,178.1,0.740800858
38.807706,53.623953,5.8,230.6,170.6,2.8,0,0.09,0.27,0.02,2.1,16.9,1.7,0,5.9,179.6,0.785714269
38.814088,53.625842,6.2,131,156.7,3.8,0.01,0.17,0.3,0.03,2,13,1.3,0,6.4,136.2,0.584781289
38.822646,53.625991,8.6,89,171.2,1.6,0.01,0.1,0.18,0.02,3,15,1.5,0,4.8,163.8,0.716442049
38.797534,53.627986,6.9,101.3,159.4,4.4,0.01,0.12,0.27,0,1.7,15.6,1.8,0,6.1,118.7,0.731648028
38.796644,53.623061,7.2,234.8,318,3.8,0.01,0.13,0.28,0,2,13.6,1.4,0,5.1,105.7,0.661726236
38.829572,53.612626,8.1,34.4,206.7,5.9,0.02,0.14,0.25,0,2.6,20.7,0.8,0,5.9,179.6,0.506035864
38.836538,53.609908,8.3,109.6,162.8,2.8,0.01,0.16,0.19,0,2.7,15.9,1.9,0,6,116,0.671861231
38.863995,53.622543,7.7,82.9,233.4,3.4,0,0.48,0.28,0,2.6,15.6,1.9,0,4.5,171.5,0.761225045
38.878869,53.621268,7,51.4,105.7,4.3,0.01,0.15,0.28,0,2.3,15.1,1.6,0,5.2,113.3,0.617873669
38.888078,53.618865,6.2,74.9,139.4,3.3,0.01,0.26,0.24,0,2.4,14.7,1.7,0,4.7,142.7,0.67408812
38.880441,53.613816,7.7,2035.2,299.4,4.5,0.01,0.08,0.2,0,2.4,18.4,2.8,0,3.2,103.7,0.642605066
38.872024,53.610494,6.9,209.4,357,4.6,0.01,0.06,0.27,0,1.1,15.5,2.9,0,3.2,89.3,0.698050141
38.864144,53.615304,7.8,136.4,200.7,8.5,0.01,0.1,0.3,0,2.6,18.3,2.5,0,3.8,76.4,0.797484815
38.854488,53.611587,7,70.1,134.7,4.6,0.01,0.06,0.18,0,1.5,17.4,3,0,6.8,24.5,0.839852571
38.848359,53.606469,7,102.4,190.2,3.9,0.02,0.08,0.16,0,1.1,17.8,3,0,4.8,11.6,0.827383459
38.860326,53.608018,6.5,32.6,145.8,4.7,0.01,0.09,0.23,0,1.4,16.9,2.7,0,6,35.5,0.813374817
38.857705,53.604196,6.5,44,149.4,4.1,0.02,0.07,0.21,0,1.5,16.7,2.8,0,4.6,40.1,0.708665609
38.84937,53.601161,6.6,118.2,159.3,4,0.01,0.07,0.25,0,1.7,17,3.1,0,5,34,0.774701655
38.842719,53.597836,7,259,253.5,4.1,0.01,0.09,0.29,0,2.4,17.3,2.7,0,3.5,48,0.438882411
38.842505,53.592344,6,76.1,207.9,2.6,0.01,0.07,0.13,0,1.7,16.4,2.4,0,4.4,45.1,0.243243247
38.846049,53.586853,6.6,62.1,150.2,3.5,0.01,0.09,0.25,0,1.4,16.2,2.9,0,4.8,32.2,0.174689025